taid,taname,talong,tashort,msaid,display,msa_color
98,Cincinnati Other,,Cincinnati Other,17140,True,#ff5e4d
98,Transit Authority of Northern Kentucky,Transit Authority of Northern Kentucky,TANK,17140,False,#ff5e4d
98,Butler County Regional Transit Authority,Butler County Regional Transit Authority,BCRTA,17140,False,#ff5e4d
98,Clermont Transportation Connection,Clermont Transportation Connection,CTC,17140,False,#ff5e4d
98,Warren County Transit Services,Warren County Transit Services,WCTS,17140,False,#ff5e4d
99,KCATA,Kansas City Area Transportation Authority,KCATA,28140,True,#0f8fff
100,Unified Government Transit Department,Unified Government Transit Department,UGT,28140,False,#ff5e4d
100,City of Independence,City of Independence,IndeBus,28140,False,#ff5e4d
100,"Kansas City, City of Missouri","Kansas City, City of Missouri",KCMO,28140,False,#ff5e4d
100,Kansas City Other,,Kansas City Other,28140,True,#ff5e4d
100,Johnson County Transit,Johnson County Transit,The JO,28140,False,#ff5e4d
101,LYNX,Central Florida Regional Transportation Authority,LYNX,36740,True,#0f8fff
102,SunRail,Central Florida Commuter Rail,SunRail,36740,True,#ff5e4d
103,IndyGo,Indianapolis and Marion County Public Transportation,IndyGo,26900,True,#0f8fff
104,Indianapolis Other,,Indianapolis Other,26900,True,#ff5e4d
104,Central Indiana Regional Transportation Authority,Central Indiana Regional Transportation Authority,CIRTA,26900,False,#ff5e4d
104,Hancock Area Rural Transit,Hancock Area Rural Transit,HART,26900,False,#ff5e4d
105,Hampton Roads Transit,Transportation District Commission of Hampton Roads,HRT,47260,True,#0f8fff
106,Suffolk Transit,Suffolk Transit,Suffolk Transit,47260,True,#ff5e4d
107,Milwaukee County Transit System,Milwaukee County Transit System,MCTS,33340,True,#0f8fff
108,City of Waukesha Transit Commission,City of Waukesha Transit Commission,Waukesha Metro Transit,33340,False,#ff5e4d
108,City of Milwaukee,City of Milwaukee,,33340,False,#ff5e4d
108,Washington County Transit,Washington County Transit,,33340,False,#ff5e4d
108,Milwaukee Other,,Milwaukee Other,33340,True,#ff5e4d
108,Ozaukee County Transit Services,Ozaukee County Transit Services,OCTS,33340,False,#ff5e4d
109,COTA,Central Ohio Transit Authority,COTA,18140,True,#0f8fff
110,Columbus Other,,Columbus Other,18140,True,#ff5e4d
110,Delaware County Transit Board,Delaware County Transit Board,DATA,18140,False,#ff5e4d
110,Mid-Ohio Regional Planning Commission,Mid-Ohio Regional Planning Commission,MORPC,18140,False,#ff5e4d
111,CapMetro,Capital Metropolitan Transportation Authority,CapMetro,12420,True,#0f8fff
112,City of Round Rock,City of Round Rock,City of Round Rock,12420,True,#ff5e4d
113,CATS,Charlotte Area Transit System,CATS,16740,True,#0f8fff
114,Lancaster County Council on Aging,Lancaster County Council on Aging,Lancaster Area Ride Service,16740,False,#ff5e4d
114,Union County Transportation,Union County Transportation,UCT,16740,False,#ff5e4d
114,Iredell County Area Transportation Services,Iredell County Area Transportation Services,ICATS,16740,False,#ff5e4d
114,Mecklenburg County DSS,Mecklenburg County DSS,MCTS,16740,False,#ff5e4d
114,Charlotte Other,,Charlotte Other,16740,True,#ff5e4d
115,RIPTA,Rhode Island Public Transit Authority,RIPTA,39300,True,#0f8fff
116,Providence Other,,Providence Other,39300,True,#ff5e4d
116,Greater Attleboro-Taunton Regional Transit Authority,Greater Attleboro-Taunton Regional Transit Authority,GATRA,39300,False,#ff5e4d
116,Rhode Island DOT,Rhode Island DOT,RIDOT,39300,False,#ff5e4d
117,Jacksonville Transportation Authority,Jacksonville Transportation Authority,JTA,27260,True,#0f8fff
118,Clay Transit,Clay County Council on Aging,Clay Transit,27260,True,#ff5e4d
119,Memphis Area Transit Authority,Memphis Area Transit Authority,MATA,32820,True,#0f8fff
120,Shelby County Government,Shelby County Government,Shelby County Government,32820,True,#ff5e4d
121,UTA,Utah Transit Authority,UTA,41620,True,#0f8fff
122,TARC,Transit Authority of River City,TARC,31140,True,#0f8fff
123,Oldham's Public Bus,Oldham's Public Bus,,31140,False,#ff5e4d
123,Kentuckiana Regional Planning and Development Agency,Kentuckiana Regional Planning and Development Agency,KIPDA,31140,False,#ff5e4d
123,Louisville Other,,Louisville Other,31140,True,#ff5e4d
124,Metropolitan Transit Authority,Metropolitan Transit Authority,WeGo,34980,True,#0f8fff
125,Nashville Other,,Nashville Other,34980,True,#ff5e4d
125,Regional Transportation Authority,Regional Transportation Authority,RTA,34980,False,#ff5e4d
125,The Transportation Management Association Group,The Transportation Management Association Group,TMA,34980,False,#ff5e4d
125,Franklin Transit Authority,Franklin Transit Authority,FTA,34980,False,#ff5e4d
126,GRTC,Greater Richmond Transit Company,GRTC,40060,True,#0f8fff
127,Petersburg Area Transit,Petersburg Area Transit,Petersburg Area Transit,40060,True,#ff5e4d
128,Niagara Frontier Transportation Authority,Niagara Frontier Transportation Authority,NFT Metro,15380,True,#0f8fff
129,CTTransit,CTTRANSIT Hartford,CTTransit,25540,True,#0f8fff
130,CTTransit Torrington-Winsted,CTTransit Torrington-Winsted,Nason Partners,25540,False,#ff5e4d
130,Middletown Transit District,Middletown Transit District,MTD,25540,False,#ff5e4d
130,CTTransit New Britain -Dattco.,CTTransit New Britain -Dattco.,CDOT CTTransit DATTCO,25540,False,#ff5e4d
130,CTTRANSIT New Britain,CTTRANSIT New Britain,,25540,False,#ff5e4d
130,Connecticut DOT,Connecticut DOT,CDOT,25540,False,#ff5e4d
130,Hartford Other,,Hartford Other,25540,True,#ff5e4d
130,Greater Hartford Transit District,Greater Hartford Transit District,GHTD,25540,False,#ff5e4d
131,New Orleans RTA,New Orleans Regional Transit Authority,NORTA,35380,True,#0f8fff
132,New Orleans Other,,New Orleans Other,35380,True,#ff5e4d
132,Jefferson Parish Department of Transit Administration,Jefferson Parish Department of Transit Administration,Jet,35380,False,#ff5e4d
132,Plaquemines Parish Government,Plaquemines Parish Government,PPG,35380,False,#ff5e4d
132,St. Bernard Urban Rapid Transit,St. Bernard Urban Rapid Transit,SBURT,35380,False,#ff5e4d
132,River Parishes Transit Authority,River Parishes Transit Authority,RPTA,35380,False,#ff5e4d
132,Regional Planning Commission,Regional Planning Commission,RPC,35380,False,#ff5e4d
133,GoRaleigh,Capital Area Transit,GoRaleigh,39580,True,#0f8fff
134,North Carolina State University Transportation Department,North Carolina State University Transportation Department,NCSU,39580,False,#ff5e4d
134,Wake County DSS,Wake County DSS,TRACS,39580,False,#ff5e4d
134,Raleigh Other,,Raleigh Other,39580,True,#ff5e4d
134,Town of Cary,Town of Cary,GoCary,39580,False,#ff5e4d
135,COTPA,Central Oklahoma Transportation and Parking Authority,COTPA,36420,True,#0f8fff
136,Citylink,City of Edmond,Citylink,36420,True,#ff5e4d
137,SunTran,City of Tucson,SunTran,46060,True,#0f8fff
138,Tucson Other,,Tucson Other,46060,True,#ff5e4d
138,Pima Association of Governments,Pima Association of Governments,PAG,46060,False,#ff5e4d
138,Town of Oro Valley - Transit Services Division,Town of Oro Valley - Transit Services Division,SunShutDNR,46060,False,#ff5e4d
139,Honolulu DTS,City and County of Honolulu Department of Transportation Services,DTS,46520,True,#0f8fff
140,MAX Transit,Birmingham-Jefferson County Transit Authority,MAX,13820,True,#0f8fff
141,RPCGB,Regional Planning Commission of Greater Birmingham,RPCGB,13820,True,#ff5e4d
142,RTS - Monroe County,RTS - Monroe County,RGRTA,40380,True,#0f8fff
143,Metropolitan Tulsa Transit Authority,Metropolitan Tulsa Transit Authority,MTTA,46140,True,#0f8fff
144,Interurban Transit Partnership,Interurban Transit Partnership,The Rapid,24340,True,#0f8fff
